ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;Hora de la última modificación;Edad;¿Qué nivel educativo posee? ;¿Posee experiencia en el uso de Smartwatches?;¿Posee experiencia en pruebas de usabilidad por heurísticas?;¿El smartwatch muestra claramente su estado (batería, Bluetooth, grabación) en tiempo real?;¿La información en pantalla es clara y fácil de leer (tamaño de letra, color, contraste adecuados)?;¿La información presentada es directa, fácil de entender y sin detalles innecesarios?;¿Las acciones del usuario reciben confirmación clara (visual, háptica o sonora) que guía la interacción?;¿Las tareas se completan con la menor cantidad de pasos posible (mínimos toques o deslizamientos)?;¿El diseño y funcionamiento son uniformes en toda la interfaz (botones, colores, palabras significan lo mismo)?;¿La interfaz permite interacción mediante distintos métodos (toque, botones, voz, gestos)?;¿La disposición de botones y elementos interactivos es cómoda y fácil de usar físicamente en la muñeca?;¿Existen atajos o funciones personalizables que permitan ahorrar tiempo a usuarios avanzados?;¿Cuál ha sido tu percepción de facilidad de uso de las reglas aplicadas?
1;4/30/26 14:03:07;4/30/26 14:03:48;anonymous;;;21;Bachillerato en curso;No;Sí;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;Me parece muy bien 
2;4/30/26 14:09:52;4/30/26 14:13:01;anonymous;;;23;Diplomado en curso;No;No;0 ;0 ;0 ;0 ;1 ;1 ;1 ;0 ;2;Yo ya he usado Strava y me parece una aplicación interactiva, cumple con mis espectativas así como metas.
3;4/30/26 15:30:00;4/30/26 15:31:44;anonymous;;;19;Diplomado en curso;Sí;Sí;3 ;4 ;3 ;4 ;3 ;4 ;3 ;3 ;3 ;El fácil uso del reloj para los usuarios 
4;4/30/26 18:45:39;4/30/26 18:48:08;anonymous;;;20;Diplomado en curso;No;Sí;4 ;4 ;4 ;4 ;3 ;4 ;4 ;4 ;4 ;Bastante útil en la vida diaria 
5;4/30/26 19:25:10;4/30/26 21:00:06;anonymous;;;21;Bachillerato en curso;No;No;4 ;1 ;1 ;2;3 ;2;2;1 ;0 ;Son bastante intuitivas, cumplen con el propósito de la app
6;5/1/26 17:18:41;5/1/26 17:23:28;anonymous;;;24;Bachillerato en curso;Sí;Sí;3 ;2;1 ;2;1 ;1 ;2;2;2;Difícil de entender 
7;5/4/26 8:45:26;5/4/26 8:45:55;anonymous;;;23;Diplomado en curso;Sí;Sí;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;4 ;Me parece bien
8;5/4/26 8:59:02;5/4/26 9:07:34;anonymous;;;21;Diplomado en curso;No;No;2;2;2;2;2;2;2;2;2;Bastante bien e intuitiva 
9;5/4/26 10:00:02;5/4/26 10:02:38;anonymous;;;24;Bachillerato en curso;No;Sí;2;2;1 ;2;3 ;2;2;1 ;3 ;Extensa
10;5/4/26 10:13:36;5/4/26 10:16:25;anonymous;;;22;Diplomado en curso;Sí;Sí;1 ;1 ;2;2;3 ;3 ;2;3 ;3 ;Aunque el diseño visual es limpio, la precisión táctil sigue siendo un reto
11;5/4/26 13:28:01;5/4/26 13:29:21;anonymous;;;21;Bachillerato en curso;Sí;Sí;3 ;2;3 ;4 ;4 ;4 ;3 ;3 ;3 ;Considero que son bastante intuitivas y faciles de utilizar 
12;5/7/26 18:35:39;5/7/26 18:38:22;anonymous;;;21;Bachillerato en curso;Sí;Sí;2;1 ;1 ;1 ;2;1 ;2;2;1 ;En general todo se observa sin problema, mas allá de algunos detalles que pueden ser mejorables aunque no son deficientes
13;5/9/26 14:41:28;5/9/26 14:53:44;anonymous;;;23;Diplomado en curso;Sí;No;4 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;que están bien aplicadas
